,headlines,categories
22,صوبائی وزیر (ایم پی ڈی ڈی )ملک نعمان احمد لنگڑیال 29 مارچ کو ضلع وہاڑی کا دورہ کریں گے,"['عثمان بزدار', 'پنجاب']"
23,گلوکار و اداکار علی ظفر کی سوشل میڈیا پر کردار کشی کیس میں میشا شفیع اور ماہم جاوید کو آئندہ سماعت پر پیش کرنے کا حکم ,"['عدالت', 'وکلا', 'سوشل میڈیا', 'سماعت', 'لاہور']"
24,مسلم لیگ (ن) نے پیپلز پارٹی کو پاکستان ڈیموکریٹک موومنٹ سے نکالنے کی حکمت عملی بنا لی,"['مسلم لیگ (ن)', 'ایم کے', 'مولانا فضل الرحمن', 'پاکستان', 'پیپلز پارٹی']"
25,قلات اورکوٹ لانگو میں جاری میگا ترقیاتی منصوبوں کی بروقت تکمیل ترجی ہے :میر ضیاء اللہ لانگو,['کار']
26,وانگ کے زیراہتمام دوسرا سالانہ ریاضی و سائنس مقابلہ کے لیے ٹیسٹ کا انعقاد تین اپریل کو ہوگا,['تعلیم']
27,قرآن کریم امت مسلمہ کیلئے مکمل ضابطہ حیات ہی: مولانا عبدالقادر لونی,"['جلسہ', 'بلوچستان', 'جمعیت', 'علما', 'دنیا', 'تعلیم']"
28,ایران اور چین نے 25 سالہ تعاون کے معاہدے پر دستخط کردیئے ,"['ایران', 'اقوام متحدہ', 'ڈالر', 'چین']"
29,کورونا وائرس کیسز بڑھنے پر مکمل لاک ڈائون لگانے کا عندیہ ,"['کرونا وائرس', 'جلسہ', 'ڈاکٹر', 'عثمان بزدار', 'پاکستان', 'فردوس عاشق اعوان', 'پیپلز پارٹی', 'پنجاب']"
30,ملک بھر میں اشیائے خوردونوش کی قیمتو ں میں ہوش ربا اضافہ ، رمضان سے قبل ہی مہنگائی کے طوفان نے عوام کا جینا محال کردیا ,"['مہنگائی', 'ملتان', 'ٹماٹر', 'طوفان', 'کراچی', 'تیل', 'کوئٹہ']"
31,حکومت نے چینی کی درآمد کا مسلسل دوسرا ٹینڈر بھی منسوخ کردیا,"['پاکستان', 'کراچی', 'ڈالر']"
32,ٹریڈنگ کارپوریشن پاکستان نے 9 شوگرملز کو بلیک لسٹ کردیا,"['پاکستان', 'ایم کے']"
