,headlines,categories
90,راولپنڈی پولیس کی جانب سے یوم پاکستان کے لیے سیکورٹی پلان جاری,"['پولیس', 'یوم پاکستان', 'پاکستان', 'کرونا وائرس']"
91,اسلام آ باد،تھانہ ما ر گلہ پولیس کی بڑی کارروائی ،دوران سنیپ چیکنگ گاڑ ی سے غیرملکی شراب اوربیئر برآمد ، ملزم گرفتار ,"['پولیس', 'تھانہ', 'گاڑی', 'ڈاکٹر', 'منشیات', 'اسلحہ', 'ہیروئن']"
92,راولپنڈی،تھانہ صدر واہ پولیس کی اہم کارروائی،موٹر سائیکل چوری، رابری اور موبائل سنیچنگ کی وارداتوں میں ملوث 04 ملزمان گرفتار,"['پولیس', 'کار', 'تھانہ', 'اسلحہ', 'موبائل']"
93,سی پی اوکی کمانڈ میں راولپنڈی پولیس نے یوم پاکستان کے موقعہ پر شہداء کی قربانیوں کو خراج عقیدت پیش کرنے کیلیے خصوصی نغمہ جاری کردیا,"['پولیس', 'یوم پاکستان', 'پاکستان']"
94,راولپنڈی پولیس کی موثر پولیسنگ کے نتیجے میں ملزمان کی سزایابی کا سلسلہ جاری,"['پولیس', 'عدالت', 'ٹیکنالوجی', 'تھانہ']"
95,راولپنڈی پولیس کی کارروائی، اشتہاری مجرم کو پناہ دینے اور فرار ہونے میں مدد دینے والے 02ملزمان گرفتار,"['پولیس', 'کار', 'تھانہ', 'قتل']"
96,راولپنڈی،نیوٹائون پولیس کی منشیات فروشوں کیخلاف موثر کارروائی ،ملزم گرفتار،04کلو چرس برآمد,"['پولیس', 'منشیات']"
97, روزے کی حالت میں بھی کرونا ویکسین لگوائی جاسکتی ہے، مولانا طاہر اشرفی,"['وزیراعظم', 'کراچی', 'لاہور', 'ڈاکٹر', 'کرونا وائرس', 'علما', 'رمضان المبارک']"
98,گوادر میں چور ایک بار پھر سرگرم ہوگئے، دکان سے موبائل چوری ,"['کار', 'چور', 'گاڑی', 'موبائل', 'گوادر']"
99,بیلا ،تیز بارش اولے پڑنے سے فصلات تباہ ،مال مویشی بھی ہلاک,"['ٹماٹر', 'ہلاک', 'بارشیں']"
100,سندھ میں کورونا کے مزید174کیسز سامنے آگئے,"['سندھ', 'کراچی', 'کرونا وائرس', 'علاج']"
101,پوری قوم کو پاکستان کی ترقی و خوشحالی کیلئے مل کر کام کرنا ہوگا،فوزیہ صدیقی,"['امریکہ', 'یوم پاکستان', 'لیاقت علی خان', 'قائداعظم', 'وزیراعظم', 'پاکستان تحریک انصاف', 'محمد علی جناح', 'ڈاکٹر', 'پاکستان', 'عافیہ صدیقی']"
102,گورنرسندھ نے ایکسپو سنٹر میں تین روزہ ’’ڈالفاکیٹل شو‘‘ کا افتتاح کردیا,"['پاکستان تحریک انصاف', 'کراچی', 'ٹیکنالوجی', 'اسمبلی', 'گورنر', 'کرونا وائرس', 'بلوچستان', 'قومی اسمبلی', 'پاکستان', 'دنیا', 'سندھ']"
103,میٹلز، ا نرجی ، کوٹس اور انڈیکس کی11.5ارب روپے مالیت کے سودے ,['پاکستان']
104,اسلام آباد میں کورونا پھر بڑھنے لگا،کیسز کی تعداد 51 ہزار 400 سے تجاوز کرگئی,"['جاں بحق', 'کرونا وائرس', 'ریکارڈ']"
105,ڈپٹی کمشنر راولپنڈی کی زیر صدارت سمال ڈیمز پر پیش رفت کا جائزہ لینے کیلئے اجلاس ,"['ڈیم', 'معین الدین احمد قریشی']"
106,کمشنر آفس راولپنڈی کو یوم پاکستان کے حوالے سے روشنیوں سے سجایا گیا ,"['یوم پاکستان', 'پاکستان', 'دنیا']"
107,سابق ایم این اے گوادر میر یعقوب بزنجو کا کپر کا دورہ کلانچ,"['بجلی', 'بجٹ', 'گوادر', 'بلوچستان']"
108,حب ، مسافر کوچ اور ٹرک میں تصادم ، ایک شخص جاں بحق،آٹھ افراد زخمی ,"['کراچی', 'بلوچستان', 'عبدالستار ایدھی', 'جاں بحق', 'زخمی']"
109,کوئٹہ، متحدہ قومی موومنٹ بلوچستان کے زیراہتمام کل پاکستان زندہ آباد ریلی نکالی جائیگی ,"['کوئٹہ', 'متحدہ قومی موومنٹ', 'پاکستان', 'بلوچستان']"
110,بدقسمتی سے پاکستان میں مقامی حکومتوں کو کبھی پنپنے کا موقع نہیں ملا،مہرجان کریم ,"['کار', 'جمہوریت', 'بلدیاتی انتخابات', 'الیکشن', 'بلوچستان', 'سول سوسائٹی', 'پنجاب', 'عام انتخابات 2018', 'پاکستان']"
111,پسنی کے ماہی گیروں کا بلوچستان فشرمینز کو آپریٹو سوسائٹی کے ممبر شپ فارم پراعتراضات ,"['گوادر', 'کراچی', 'ہوٹل', 'بلوچستان']"
112,گوادر، اسٹریٹ وال آرٹ مقابلہ میں شامل آرٹسٹ ٹیموں میں انعامات تقسیم ,['گوادر']
113,شانگلہ ،ضلع بھر اور مضافاتی علاقوں میں دو سرے روز بھی موسلادھار بارش کا سلسلہ جاری,"['پانی', 'موسم', 'نقصان', 'ٹریفک', 'بارشیں']"
